_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
4167505,5144485,2022,,2021,PRIVATE,04,Parkdale-High Park,50 HIGH PARK AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5,5,5,3,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S0428,43.655497932,-79.466564069,307481.141,4834840.141
4167506,5144479,2022,,2020,PRIVATE,04,Parkdale-High Park,55 QUEBEC AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5,5,5,3,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S0428,,,307442.641,4834735.62
4167507,5156165,2022,,1960,PRIVATE,20,Scarborough Southwest,568 BIRCHMOUNT RD,7,61,2023-01-18,83,Evaluation needs to be conducted in 2 years,19,5,3,5,5,5,3,5,5,5,3,3,3,5,3,5,5,5,3,3,N/A,E2029,43.7127945342,-79.2713034993,323213.731,4841229.257
4167508,4156367,2017,,1954,PRIVATE,05,York South-Weston,4 GREENBROOK DR,3,23,2022-12-30,79,Evaluation needs to be conducted in 2 years,15,3,5,5,3,4,3,N/A,4,N/A,N/A,4,3,5,4,4,5,N/A,4,3,N/A,W0532,43.697269464,-79.4763543388,306690.437,4839479.496
4167509,4155477,2017,,1958,PRIVATE,03,Etobicoke-Lakeshore,2355 LAKE SHORE BLVD W,4,86,2022-12-30,69,Evaluation needs to be conducted in 2 years,17,4,4,4,2,2,2,N/A,3,4,N/A,3,4,3,3,4,4,5,4,4,N/A,W0336,43.616065741,-79.4876962773,305777.4,4830458.074
4167510,4155227,2017,,1957,PRIVATE,03,Etobicoke-Lakeshore,301 PARK LAWN RD,5,39,2022-12-30,76,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,5,N/A,4,3,4,3,3,5,4,3,3,5,3,3,N/A,W0329,43.6350512379,-79.4924601948,305392.658,4832567.215
4167511,4154257,2017,,1960,PRIVATE,07,Humber River-Black Creek,3 DAMASK AVE,3,10,2022-12-30,83,Evaluation needs to be conducted in 2 years,15,3,5,5,3,3,5,N/A,4,N/A,N/A,3,5,5,4,5,5,N/A,3,4,N/A,W0728,43.7416935323,-79.5396641026,301589.804,4844415.332
4167512,4155297,2017,,1960,PRIVATE,03,Etobicoke-Lakeshore,2645 BLOOR ST W,5,42,2022-12-30,91,Evaluation needs to be conducted in 3 years,19,5,5,5,5,4,3,4,5,5,4,5,4,5,5,5,5,5,4,3,N/A,W0327,43.648946892,-79.494356545,305239.348,4834111.89
4167513,4155295,2017,,1927,PRIVATE,03,Etobicoke-Lakeshore,2651 BLOOR ST W,4,34,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3,4,5,3,2,4,N/A,4,N/A,3,3,4,5,4,3,5,4,4,3,N/A,W0327,43.649230274,-79.495336571,305160.274,4834143.367
4167514,4155294,2017,,1940,PRIVATE,03,Etobicoke-Lakeshore,2655 BLOOR ST W,5,45,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,2,N/A,4,N/A,4,3,5,5,4,5,4,4,4,3,N/A,W0327,43.6494614357,-79.495683937,305101.599,4834184.139
4167515,4153885,2017,,1955,PRIVATE,12,Toronto-St. Paul's,567 AVENUE RD,11,63,2022-12-30,91,Evaluation needs to be conducted in 3 years,18,4,5,5,5,4,5,N/A,5,5,5,4,5,5,4,4,5,5,4,3,N/A,S1232,43.688402926,-79.401606294,312716.449,4838499.822
4167516,4155235,2017,,1958,PRIVATE,03,Etobicoke-Lakeshore,169 BERRY RD,4,25,2022-12-30,81,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,N/A,4,N/A,3,5,5,4,3,4,4,5,4,3,N/A,W0329,43.6371235205,-79.4874115114,305800.066,4832797.477
4167517,4155473,2017,,1959,SOCIAL HOUSING,03,Etobicoke-Lakeshore,110 STANLEY AVE,3,16,2022-12-30,74,Evaluation needs to be conducted in 2 years,16,3,3,4,3,4,2,N/A,5,N/A,N/A,3,4,5,4,4,4,3,4,4,N/A,W0336,43.6151367665,-79.4949740706,305189.979,4830354.824
4167518,4155233,2017,,1955,PRIVATE,03,Etobicoke-Lakeshore,5 NEWHOLM RD,4,27,2022-12-30,68,Evaluation needs to be conducted in 2 years,17,3,3,5,3,4,4,N/A,4,N/A,3,3,3,4,2,4,3,3,3,4,N/A,W0329,43.6356446898,-79.4874066551,305800.477,4832633.187
4167519,4155488,2017,,1955,PRIVATE,03,Etobicoke-Lakeshore,2532 LAKE SHORE BLVD W,4,46,2022-12-30,75,Evaluation needs to be conducted in 2 years,15,5,4,5,3,3,2,N/A,4,N/A,N/A,3,4,4,5,3,4,N/A,4,3,N/A,W0336,43.6109821847,-79.4903809388,305560.767,4829893.29
4167520,4155494,2017,,1952,PRIVATE,03,Etobicoke-Lakeshore,2547 LAKE SHORE BLVD W,4,26,2022-12-30,78,Evaluation needs to be conducted in 2 years,16,4,4,4,4,3,3,N/A,4,N/A,4,4,5,5,3,5,3,N/A,4,3,N/A,W0336,43.609303547,-79.4892009672,305656.036,4829706.813
4167521,4155476,2017,,1960,PRIVATE,03,Etobicoke-Lakeshore,2361 LAKE SHORE BLVD W,4,47,2022-12-30,82,Evaluation needs to be conducted in 2 years,17,4,5,5,4,3,4,N/A,3,5,N/A,4,5,3,4,5,4,4,3,5,N/A,W0336,43.6158682454,-79.4878084713,305768.347,4830436.132
4167522,4155475,2017,,1959,PRIVATE,03,Etobicoke-Lakeshore,2369 LAKE SHORE BLVD W,4,87,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3,3,5,3,4,4,N/A,3,5,N/A,3,4,4,4,3,3,4,3,5,N/A,W0336,43.615736635,-79.4878821357,305762.403,4830421.51
4167523,4155474,2017,,1970,PRIVATE,03,Etobicoke-Lakeshore,2377 LAKE SHORE BLVD W,4,23,2022-12-30,72,Evaluation needs to be conducted in 2 years,18,4,3,5,4,4,2,N/A,3,3,3,3,3,5,3,5,3,4,4,4,N/A,W0336,43.6154404667,-79.4878892475,305761.833,4830388.607
4167524,4156439,2017,,1993,SOCIAL HOUSING,05,York South-Weston,33 GABIAN WAY,18,248,2022-12-30,89,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,4,4,4,5,5,4,5,4,5,5,N/A,4,2,5,W0533,43.6931197205,-79.4688639232,307294.354,4839018.662
4167525,4155234,2017,,1947,PRIVATE,03,Etobicoke-Lakeshore,3 NEWHOLM RD,4,25,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,4,N/A,3,N/A,4,4,3,5,4,4,4,4,3,3,N/A,W0329,43.6360787547,-79.4876301384,305782.438,4832681.407
4167526,4154231,2017,,1970,PRIVATE,07,Humber River-Black Creek,2940 JANE ST,13,153,2022-12-30,82,Evaluation needs to be conducted in 2 years,18,5,4,5,4,5,4,4,3,4,N/A,4,3,5,4,4,4,4,4,4,N/A,W0729,43.753728376,-79.5177880102,303352.137,4845751.71
4167527,4154233,2017,,1970,PRIVATE,07,Humber River-Black Creek,2970 JANE ST,14,164,2022-12-30,86,Evaluation needs to be conducted in 3 years,18,5,4,5,4,5,4,4,4,4,N/A,4,5,5,4,4,4,4,4,4,N/A,W0729,43.7553825332,-79.5178201808,303349.587,4845935.472
4167528,4155481,2017,,1957,PRIVATE,03,Etobicoke-Lakeshore,2303 LAKE SHORE BLVD W,4,38,2022-12-30,96,Evaluation needs to be conducted in 3 years,15,5,4,5,5,5,5,N/A,5,N/A,N/A,5,5,5,5,4,5,N/A,4,5,N/A,W0336,43.6181573986,-79.4862044027,305864.468,4830685.073
4167529,4155480,2017,,1954,PRIVATE,03,Etobicoke-Lakeshore,2309 LAKE SHORE BLVD W,4,28,2022-12-30,70,Evaluation needs to be conducted in 2 years,16,3,3,4,3,3,4,N/A,3,N/A,2,3,4,5,4,3,4,N/A,4,4,N/A,W0336,43.6177159242,-79.4864921975,305843.963,4830639.407
4167530,4156565,2017,,1968,PRIVATE,05,York South-Weston,15 HARDING AVE,19,335,2022-12-30,74,Evaluation needs to be conducted in 2 years,20,5,4,5,3,3,3,4,4,4,2,3,5,5,3,3,4,4,4,2,4,W0528,,,304655.788,4839682.129
4167531,4155515,2017,,1955,PRIVATE,03,Etobicoke-Lakeshore,24 SECOND ST,4,23,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4,4,5,3,4,3,N/A,4,N/A,N/A,4,4,5,5,4,5,N/A,4,4,N/A,W0335,43.6009687445,-79.499480988,304826.234,4828780.81
4167532,4153569,2017,,1988,SOCIAL HOUSING,13,Toronto Centre,223 SHERBOURNE ST,6,60,2022-12-29,54,Evaluation needs to be conducted in 1 year,17,2,3,5,1,2,3,2,3,3,N/A,1,2,3,3,2,4,N/A,4,N/A,3,S1329,43.6582200015,-79.3706451728,315217.87,4835149.078
4167533,4155410,2017,,1962,PRIVATE,02,Etobicoke Centre,416 THE WESTWAY,9,103,2022-12-29,69,Evaluation needs to be conducted in 2 years,18,3,3,4,3,4,4,N/A,2,4,5,2,4,5,3,4,3,3,3,3,N/A,W0221,43.6840527547,-79.565694704,299487.999,4838013.037
4167534,4155237,2017,,1958,PRIVATE,03,Etobicoke-Lakeshore,8 NEWHOLM RD,4,26,2022-12-29,76,Evaluation needs to be conducted in 2 years,17,4,4,3,3,3,3,N/A,3,N/A,3,4,5,5,3,5,5,5,3,4,N/A,W0329,43.6354822227,-79.4882224103,305734.649,4832615.13
4167535,4152905,2017,,1993,SOCIAL HOUSING,04,Parkdale-High Park,93 LAVINIA AVE,5,68,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5,5,5,5,4,5,5,4,4,N/A,4,5,5,4,5,4,4,4,4,5,S0430,43.6473083382,-79.4777129608,306582.355,4833929.1
4167536,4155375,2017,,1965,PRIVATE,02,Etobicoke Centre,287 MARKLAND DR,10,118,2022-12-29,80,Evaluation needs to be conducted in 2 years,19,3,4,5,4,4,4,3,4,4,5,3,4,5,4,4,3,5,4,4,N/A,W0233,43.6275335945,-79.5780494311,298485.949,4831734.901
4167537,4155305,2017,,1979,TCHC,03,Etobicoke-Lakeshore,41 MABELLE AVE,19,350,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,5,4,4,5,N/A,4,5,5,4,5,5,4,4,3,5,W0321,43.6448379761,-79.5277127601,302548.527,4833654.887
4167538,4152901,2017,,1957,PRIVATE,04,Parkdale-High Park,9 MORNINGSIDE AVE,4,36,2022-12-29,75,Evaluation needs to be conducted in 2 years,15,3,4,4,3,4,2,N/A,4,4,N/A,3,4,5,4,4,4,N/A,4,N/A,N/A,S0430,43.645605233,-79.473469677,306924.468,4833740.943
4167539,4155302,2017,,1974,PRIVATE,03,Etobicoke-Lakeshore,52 MABELLE AVE,22,310,2022-12-29,77,Evaluation needs to be conducted in 2 years,19,5,4,5,5,4,4,3,3,4,4,3,4,5,4,3,4,4,3,2,N/A,W0321,43.6464029439,-79.5294506955,302408.377,4833828.787
4167540,4820405,2022,,1950,PRIVATE,03,Etobicoke-Lakeshore,2513 LAKE SHORE BLVD W,3,11,2022-12-29,81,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,4,N/A,4,N/A,4,4,5,5,4,4,4,N/A,4,N/A,N/A,W0336,43.6117781476,-79.4895548881,305627.437,4829981.725
4167541,4290959,2018,,1962,PRIVATE,03,Etobicoke-Lakeshore,25 ELIZABETH ST,3,29,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,4,N/A,3,N/A,4,4,4,5,4,4,4,4,4,N/A,N/A,W0336,43.6135850358,-79.4949390042,305192.817,4830182.433
4167542,4152933,2017,,1973,PRIVATE,04,Parkdale-High Park,299 GLENLAKE AVE,30,233,2022-12-29,81,Evaluation needs to be conducted in 2 years,19,5,4,5,4,5,5,3,3,4,4,4,4,5,4,5,4,2,4,3,N/A,S0428,43.656888484,-79.465364295,307575.602,4834997.723
4167543,4155221,2017,,1970,PRIVATE,03,Etobicoke-Lakeshore,620 EVANS AVE,3,25,2022-12-29,71,Evaluation needs to be conducted in 2 years,17,4,2,5,4,3,3,N/A,4,N/A,4,3,4,5,3,4,4,3,3,2,N/A,W0330,43.610802275,-79.550398922,300715.866,4829875.377
4167544,4155228,2018,,1962,PRIVATE,03,Etobicoke-Lakeshore,9 KINSDALE BLVD,4,23,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4,4,5,5,5,4,N/A,4,N/A,4,4,5,5,3,4,5,N/A,4,4,N/A,W0329,43.6352649375,-79.4919665857,305432.484,4832590.959
4167545,4152941,2017,,1958,PRIVATE,04,Parkdale-High Park,205 KEELE ST,4,42,2022-12-29,71,Evaluation needs to be conducted in 2 years,15,5,4,5,3,3,2,N/A,3,N/A,N/A,4,4,5,3,3,3,N/A,3,3,N/A,S0429,43.6597146756,-79.4617878892,307866.434,4835307.806
4167546,4155256,2017,,1962,PRIVATE,03,Etobicoke-Lakeshore,3 HILL HEIGHTS RD,4,38,2022-12-29,74,Evaluation needs to be conducted in 2 years,17,3,4,5,3,3,4,N/A,4,N/A,2,3,4,5,3,4,4,5,4,3,N/A,W0327,43.6382045659,-79.4931680835,305335.532,4832917.528
4167547,4152911,2017,,1960,PRIVATE,04,Parkdale-High Park,111 RUNNYMEDE RD,4,16,2022-12-29,80,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,2,N/A,4,N/A,5,4,4,5,4,4,5,N/A,4,N/A,N/A,S0430,43.650563378,-79.475738049,306741.319,4834291.715
4167548,4155226,2017,,1947,PRIVATE,03,Etobicoke-Lakeshore,285 PARK LAWN RD,4,29,2022-12-29,73,Evaluation needs to be conducted in 2 years,17,3,4,4,3,4,3,N/A,3,N/A,3,3,5,5,4,3,3,5,3,4,N/A,W0329,43.6345619465,-79.4922664925,305408.295,4832512.859
4167549,4156289,2017,,1950,PRIVATE,02,Etobicoke Centre,4752 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5,4,5,4,4,2,N/A,4,N/A,N/A,4,5,5,4,5,5,N/A,4,N/A,N/A,W0229,43.652394933,-79.525845839,302688.053,4834472.61
4167550,4156225,2017,,1950,PRIVATE,02,Etobicoke Centre,4754 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5,4,5,4,4,2,N/A,4,N/A,N/A,4,5,5,4,5,5,N/A,4,N/A,N/A,W0229,43.652203577,-79.525983776,302683.101,4834465.154
4167551,4153574,2017,,1991,SOCIAL HOUSING,13,Toronto Centre,330 DUNDAS ST E,4,29,2022-12-29,60,Evaluation needs to be conducted in 1 year,15,3,3,5,3,3,3,N/A,4,N/A,N/A,3,3,1,2,2,2,N/A,4,N/A,4,S1329,43.6587482686,-79.3702105377,315252.836,4835207.824
4167552,4152898,2020,,1958,PRIVATE,04,Parkdale-High Park,93 COE HILL DR,4,33,2022-12-29,80,Evaluation needs to be conducted in 2 years,18,3,4,5,3,3,4,N/A,4,4,5,4,4,5,4,4,4,4,4,4,N/A,S0430,43.6414422476,-79.4724449481,307007.546,4833277.515
4167553,4281915,2017,,1952,PRIVATE,02,Etobicoke Centre,6 BEXHILL CRT,4,13,2022-12-29,84,Evaluation needs to be conducted in 2 years,15,4,5,5,4,3,2,N/A,4,N/A,4,4,5,5,4,5,5,N/A,4,N/A,N/A,W0229,43.662044955,-79.521338721,303063.01,4835567.277
4167554,4281929,2017,,1952,PRIVATE,02,Etobicoke Centre,7 BEXHILL CRT,4,13,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,2,N/A,4,N/A,4,4,4,5,4,5,5,N/A,4,N/A,N/A,W0229,43.661751009,-79.521325389,303064.075,4835534.621
4167555,4152903,2017,,1940,PRIVATE,04,Parkdale-High Park,2555 BLOOR ST W,4,34,2022-12-29,82,Evaluation needs to be conducted in 2 years,17,4,4,5,5,3,4,N/A,5,N/A,4,4,4,5,4,5,3,3,4,4,N/A,S0430,43.6476402456,-79.4906914801,305535.289,4833965.806
4167556,4155210,2017,,1949,PRIVATE,03,Etobicoke-Lakeshore,2688 BLOOR ST W,4,21,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,3,N/A,4,N/A,N/A,4,5,5,4,4,5,N/A,3,4,N/A,W0322,43.6503142619,-79.4971169059,305016.898,4834262.829
4167557,4155211,2017,,1949,PRIVATE,03,Etobicoke-Lakeshore,2690 BLOOR ST W,4,18,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4,4,5,4,4,3,N/A,4,N/A,4,4,5,5,4,4,4,N/A,3,4,N/A,W0322,43.6503326449,-79.4973659893,304996.803,4834264.87
4167558,4155212,2017,,1949,PRIVATE,03,Etobicoke-Lakeshore,2692-2694 BLOOR ST W,4,40,2022-12-29,79,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,3,N/A,4,N/A,N/A,4,5,5,4,4,4,N/A,3,3,N/A,W0322,43.6502825734,-79.4978680746,304956.297,4834259.305
4167559,4156523,2017,,1950,PRIVATE,02,Etobicoke Centre,4750 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5,4,5,4,4,2,N/A,4,N/A,N/A,4,5,5,4,5,5,N/A,4,N/A,N/A,W0229,43.652601481,-79.525645179,302689.552,4834490.961
4167560,4155482,2017,,1951,PRIVATE,03,Etobicoke-Lakeshore,51 STANLEY AVE,3,12,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4,4,5,5,3,5,N/A,5,N/A,4,5,5,3,4,4,4,N/A,5,4,N/A,W0336,43.6160393846,-79.4896739143,305617.776,4830455.127
4167561,4155288,2017,,1960,PRIVATE,03,Etobicoke-Lakeshore,186 STEPHEN DR,5,48,2022-12-28,82,Evaluation needs to be conducted in 2 years,18,3,5,5,3,5,4,N/A,3,5,4,3,4,5,5,4,4,5,3,4,N/A,W0327,43.640530203,-79.488846855,305685.065,4833173.273
4167562,4155485,2017,,1957,PRIVATE,03,Etobicoke-Lakeshore,12 ALBERT AVE,3,12,2022-12-28,76,Evaluation needs to be conducted in 2 years,16,4,4,4,4,2,3,N/A,4,N/A,4,4,4,5,4,4,4,N/A,3,4,N/A,W0336,43.6158886447,-79.4889237637,305678.326,4830438.387
4167563,4155484,2017,,1950,PRIVATE,03,Etobicoke-Lakeshore,16 ALBERT AVE,3,18,2022-12-28,80,Evaluation needs to be conducted in 2 years,15,4,3,5,4,3,4,N/A,4,N/A,N/A,5,4,4,5,3,3,N/A,5,4,N/A,W0336,43.6159770796,-79.4891131322,305663.04,4830448.21
4167564,4848750,2021,,1954,PRIVATE,19,Beaches-East York,996 O'CONNOR DR,3,18,2022-12-28,71,Evaluation needs to be conducted in 2 years,16,3,3,4,4,3,4,N/A,4,N/A,4,3,3,5,3,4,3,N/A,4,3,N/A,S1921,43.7091752019,-79.3105723901,320050.275,4840819.291
4167565,4155492,2017,,1952,PRIVATE,03,Etobicoke-Lakeshore,2555 LAKE SHORE BLVD W,4,26,2022-12-28,76,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,2,N/A,4,N/A,N/A,4,5,5,3,4,4,N/A,3,3,N/A,W0336,43.6090432374,-79.4898363283,305704.944,4829683.294
4167566,4155490,2017,,1952,PRIVATE,03,Etobicoke-Lakeshore,2559 LAKE SHORE BLVD W,4,26,2022-12-28,81,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,3,N/A,3,N/A,N/A,4,5,5,4,5,4,N/A,4,4,N/A,W0336,43.6090936183,-79.4886161506,305607.776,4829677.695
4167567,4155489,2017,,1952,PRIVATE,03,Etobicoke-Lakeshore,2561 LAKE SHORE BLVD W,4,14,2022-12-28,81,Evaluation needs to be conducted in 2 years,14,4,4,5,4,N/A,3,N/A,4,N/A,N/A,4,5,5,4,5,3,N/A,4,3,N/A,W0336,43.6088644692,-79.4900435258,305588.026,4829658.026
4167568,4155285,2017,,1950,PRIVATE,03,Etobicoke-Lakeshore,6 KINGS POINT DR,3,16,2022-12-28,68,Evaluation needs to be conducted in 2 years,17,3,3,4,3,3,4,N/A,4,N/A,4,2,4,5,2,4,2,4,3,4,N/A,W0327,43.6396095695,-79.4936460031,305296.993,4833073.615
